id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket
"417-S-50-W,-Richmond,-UT-84333","417 S 50 W, Richmond, UT 84333",417 S 50 W,,Richmond,UT,84333,Cache,41.913762,-111.80996,Single Family,6.0,1.0,2438.0,10454.0,1976.0,Inactive,399900,2023-09-29T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-09-30T00:00:00.000Z,2024-05-08T00:00:00.000Z,223
"12369-S-Pesky-Ln-W,---324,-Herriman,-UT-84096","12369 S Pesky Ln W, # 324, Herriman, UT 84096",12369 S Pesky Ln W,# 324,Herriman,UT,84096,Salt Lake,40.526417,-112.049477,Single Family,3.0,2.0,3547.0,3920.0,2024.0,Inactive,631900,2023-11-08T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-11-09T00:00:00.000Z,2024-05-08T00:00:00.000Z,183
"1804-W-400-N,-Salt-Lake-City,-UT-84116","1804 W 400 N, Salt Lake City, UT 84116",1804 W 400 N,,Salt Lake City,UT,84116,Salt Lake,40.778376,-111.942533,Multi-Family,8.0,4.0,3584.0,8712.0,1973.0,Inactive,825000,2023-11-09T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-11-09T00:00:00.000Z,2024-05-08T00:00:00.000Z,182
"221-W-1160-N,-Unit-12,-Tooele,-UT-84074","221 W 1160 N, Unit 12, Tooele, UT 84074",221 W 1160 N,Unit 12,Tooele,UT,84074,Tooele,40.55355,-112.303677,Condo,3.0,2.0,2060.0,436.0,2005.0,Inactive,320900,2023-11-13T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-11-14T00:00:00.000Z,2024-05-08T00:00:00.000Z,178
"2741-E-Shadybrook-Ln,-Holladay,-UT-84121","2741 E Shadybrook Ln, Holladay, UT 84121",2741 E Shadybrook Ln,,Holladay,UT,84121,Salt Lake,40.641849,-111.814214,Single Family,6.0,4.5,5435.0,52708.0,1912.0,Inactive,2400000,2023-11-17T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-11-18T00:00:00.000Z,2024-05-08T00:00:00.000Z,174
"18807-W-3000-N,-Boneta,-UT-84001","18807 W 3000 N, Boneta, UT 84001",18807 W 3000 N,,Boneta,UT,84001,Duchesne,40.344374,-110.346898,Single Family,4.0,2.0,2116.0,174240.0,2006.0,Inactive,589000,2023-12-06T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-12-07T00:00:00.000Z,2024-05-08T00:00:00.000Z,155
"8175-N-Sunrise-Loop,-Park-City,-UT-84098","8175 N Sunrise Loop, Park City, UT 84098",8175 N Sunrise Loop,,Park City,UT,84098,Summit,40.752918,-111.439544,Single Family,5.0,6.0,6844.0,50965.0,2023.0,Inactive,7300000,2023-12-26T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-07-27T00:00:00.000Z,2024-05-08T00:00:00.000Z,135
"8175-N-Sunrise-Loop,-Unit-52,-Park-City,-UT-84098","8175 N Sunrise Loop, Unit 52, Park City, UT 84098",8175 N Sunrise Loop,Unit 52,Park City,UT,84098,Summit,40.753021,-111.43943,Single Family,5.0,2.5,6844.0,50965.0,2023.0,Inactive,7300000,2023-12-26T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-12-27T00:00:00.000Z,2024-05-08T00:00:00.000Z,135
"5700-S-900-E,-Apt-1,-Murray,-UT-84121","5700 S 900 E, Apt 1, Murray, UT 84121",5700 S 900 E,Apt 1,Murray,UT,84121,Salt Lake,40.646532,-111.866818,Condo,2.0,1.0,860.0,436.0,1979.0,Inactive,269900,2023-12-30T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-12-31T00:00:00.000Z,2024-05-08T00:00:00.000Z,131
"442-S-Center-St,-Hyrum,-UT-84319","442 S Center St, Hyrum, UT 84319",442 S Center St,,Hyrum,UT,84319,Cache,41.624772,-111.856088,Single Family,4.0,1.5,2110.0,23522.0,1880.0,Inactive,387500,2024-01-17T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-06-12T09:34:41.585Z,2024-05-08T00:00:00.000Z,113
"10863-S-Lake-Ave-W,-South-Jordan,-UT-84009","10863 S Lake Ave W, South Jordan, UT 84009",10863 S Lake Ave W,,South Jordan,UT,84009,Salt Lake,40.553945,-112.006741,Single Family,6.0,4.5,5592.0,7841.0,2020.0,Inactive,1297000,2024-01-17T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-08-05T10:38:39.061Z,2024-05-08T00:00:00.000Z,113
"12221-Ross-Creek-Dr,-Kamas,-UT-84036","12221 Ross Creek Dr, Kamas, UT 84036",12221 Ross Creek Dr,,Kamas,UT,84036,Wasatch,40.656035,-111.411095,Single Family,5.0,3.5,3400.0,7841.0,2005.0,Inactive,1485000,2024-01-19T00:00:00.000Z,2024-05-09T00:00:00.000Z,2022-05-18T12:18:52.796Z,2024-05-08T00:00:00.000Z,111
